school,district,school_year,enrollment,category,reason,description,date_description,year,days,cds_code,county
Acorn to Oaks Charter,Redding Elementary,2002-03,20,Natural Disasters & Weather,Inclement Weather,Power failure caused by inclement weather,"December 16, 2002",2002,1,45701106119572,Shasta
Agnes J. Johnson Elementary,Southern Humboldt Joint Unified,2002-03,78,Natural Disasters & Weather,Inclement Weather,"Power outage, lack of sanitary facilities, localized flooding.","December 16-20, 2002",2002,4,,
Ahwahnee High,Yosemite Joint Union High,2002-03,14,Natural Disasters & Weather,Inclement Weather,power outage at school sites and snow at higher elevations,"December 20, 2002",2002,1,,
Alamo Elementary,Vacaville Unified,2002-03,599,Natural Disasters & Weather,Inclement Weather,Flooding at or near schools sites,"December 16, 2002",2002,1,48705736051288,Solano
Albion Elementary,Mendocino Unified,2002-03,27,Infrastructure,Power Outage,"Loss of electricity (11/8/02, 12/16/02, 12/17/02)","November 8, 2002, December 16, and 17, 2002",2002,3,23655816116149,Mendocino
Albion Elementary,Mendocino Unified,2002-03,27,Infrastructure,Facilities Issues,water main break (12/20/02),"November 8, 2002, December 16, 17, and 20, 2002",2002,1,23655816116149,Mendocino
Alexander Valley Elementary,Alexander Valley Union Elementary,2002-03,118,Infrastructure,Power Outage,Power outage,"December 16 and 17, 2002",2002,2,49705996051577,Sonoma
Alice Birney Elementary,Eureka City Schools,2002-03,333,Infrastructure,Power Outage,Power outage,"December 19, 2002",2002,1,12755156007751,Humboldt
Alpaugh -Senior High,Alpaugh Unified,2002-03,97,Infrastructure,Facilities Issues,"City water system failure, water unavailable to all schools in district","August 21, and 23, 2002",2002,2,54718035430301,Tulare
Alpaugh Elementary,Alpaugh Unified,2002-03,141,Infrastructure,Facilities Issues,"City water system failure, water unavailable to all schools in district","August 21, and 23, 2002",2002,2,54718036053847,Tulare
Alpine County Elementary Community Day,Alpine County Unified,2002-03,3,Natural Disasters & Weather,Inclement Weather,"No electrical power due to storm. December 14 and 15 downed poles, eastern slope of sierras/school and homes.","December 16 through 20, 2002",2002,5,2613336114573,Alpine
Alpine County Secondary Community Day,Alpine County Unified,2002-03,1,Natural Disasters & Weather,Inclement Weather,"No electrical power due to storm. December 14 and 15 downed poles, eastern slope of sierras/school and homes.","December 16 through 20, 2002",2002,5,2613330230029,Alpine
Alta Mesa Elementary,Enterprise Elementary,2002-03,581,Natural Disasters & Weather,Inclement Weather,Large scale power outages due to high winds,"December 16, 2002",2002,1,45699716050215,Shasta
Alternative Family Education,Santa Cruz City High,2002-03,173,Infrastructure,Power Outage,Power outage (All Schools - excluding charter schools 12/16/02),"December 16, 2002",2002,1,44698234430195,Santa Cruz
Analy High,West Sonoma County Union High,2002-03,"1,383",Infrastructure,Power Outage,Power outage,"December 16, 2002",2002,1,49706074930400,Sonoma
